class,org,org_type,pi_first,pi_sur,pclass,status,owner,end,grant,scheme,start,total
Data Handling & Storage,University of Oxford,FELLOW,Christian,Wolf,Astronomy Observation,Closed,STFC,3/31/2009,Fellowship,Advanced Fellowship,4/1/2004,122872.74
Beyond the Standard Model,University of Liverpool,LEAD ORGANISATION,John,Dainton,Particle physics - experiment,Closed,STFC,3/31/2009,Research Grant,Standard,9/1/2004,7028234.24
Beyond the Standard Model,University College London,FELLOW,Ruben,Saakyan,Particle physics - experiment,Closed,STFC,9/30/2009,Fellowship,Advanced Fellowship,10/1/2004,236269.22
Beyond the Standard Model,University of Cambridge,FELLOW,Benjamin,Allanach,Particle physics - experiment,Closed,STFC,9/30/2009,Fellowship,Advanced Fellowship,10/1/2004,112747.36
Extra-Galactic Astron.&Cosmol.,University of Edinburgh,LEAD ORGANISATION,Andy,Lawrence,,Closed,STFC,6/30/2009,Research Grant,Standard,4/1/2005,1401776.09
Extra-Galactic Astron.&Cosmol.,Joint Astronomy Centre,COLLABORATOR,Michael,Irwin,,Closed,STFC,9/30/2009,Research Grant,Standard,4/1/2005,1685260.99
Data Handling & Storage,University of Trieste,COLLABORATOR,James,Emerson,Astronomy Observation,Closed,STFC,12/31/2009,Research Grant,AstroProjects,9/1/2005,241242.28
Beyond the Standard Model,University of Edinburgh,FELLOW,Luigi,Del Debbio,Particle physics - experiment,Closed,STFC,9/30/2010,Fellowship,Advanced Fellowship,10/1/2005,244444.88
Galactic & Interstellar Astron,University of Oxford,LEAD ORGANISATION,Roger,Davies,,Closed,STFC,9/30/2011,Research Grant,AstroProjects (FEC),10/1/2005,1628892.17
Condensed Matter Physics,University of Cambridge,LEAD ORGANISATION,Christopher,Pickard,"Supercond, magn. &quant.fluids",Closed,EPSRC,3/31/2006,Research Grant,First Grant Scheme Pre-FEC,1/1/2006,119166.97
Materials Processing,University of Warwick,LEAD ORGANISATION,Diane,Holland,Materials processing,Closed,EPSRC,4/30/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,19868.7478
Fundamentals of Computing,University of Southampton,LEAD ORGANISATION,John,Shawe-Taylor,Info. & commun. Technol.,Closed,EPSRC,6/30/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,219251.508
Combustion,Cranfield University,LEAD ORGANISATION,Martin,Braithwaite,,Closed,EPSRC,7/31/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,63399.675
Nuclear structure,Puppetman Productions,COLLABORATOR,Robert,Cywinski,Nuclear physics,Closed,EPSRC,12/31/2006,Research Grant,PPE PreFEC,1/1/2006,81470.74
Civil Engineering Materials,University of Sheffield,LEAD ORGANISATION,Neil Brennan,Milestone,Materials processing,Closed,EPSRC,12/31/2006,Research Grant,Overseas Travel Grants Pre-FEC,1/1/2006,16582.9
Materials Characterisation,Swansea University,LEAD ORGANISATION,Valerie,Randle,Materials sciences,Closed,EPSRC,12/31/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,62664.15
Medical science & disease,University of Southampton,LEAD ORGANISATION,Timothy G,Leighton,Medical & health interface,Closed,EPSRC,12/31/2006,Research Grant,Follow on Fund (Pre-FEC),1/1/2006,57311.33
Vision & Senses - ICT appl.,Sunnybrook Technologies Inc,COLLABORATOR,Alan,Chalmers,Info. & commun. Technol.,Closed,EPSRC,2/28/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,324148.88
Materials Characterisation,The University of Manchester,LEAD ORGANISATION,Matthew,Halsall,Materials sciences,Closed,EPSRC,3/31/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,18233.2
Non-linear Systems Mathematics,University of Sheffield,LEAD ORGANISATION,Nicholas,Monk,,Closed,EPSRC,6/30/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,75862.0492
Aerodynamics,University of Bath,LEAD ORGANISATION,Ismet,Gursul,Mechanical engineering,Closed,EPSRC,6/30/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,70643.13
