class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
Data Handling & Storage,University of Oxford,FELLOW,Christian,Wolf,Evolution of active and quiescent galaxies from deep redshift and morphology surveys,Astronomy Observation,Closed,STFC,3/31/2009,Fellowship,Advanced Fellowship,4/1/2004,122872.74
Beyond the Standard Model,University of Liverpool,LEAD ORGANISATION,John,Dainton,Cockcroft Institute: An International Centre for Accelerator Science and Technology.,Particle physics - experiment,Closed,STFC,3/31/2009,Research Grant,Standard,9/1/2004,7028234.24
Beyond the Standard Model,University College London,FELLOW,Ruben,Saakyan,Measurements of the neutrino mass spectrum with oscillation and double beta decay experiments,Particle physics - experiment,Closed,STFC,9/30/2009,Fellowship,Advanced Fellowship,10/1/2004,236269.22
Beyond the Standard Model,University of Cambridge,FELLOW,Benjamin,Allanach,Collider Tests Beyond the Standard Model,Particle physics - experiment,Closed,STFC,9/30/2009,Fellowship,Advanced Fellowship,10/1/2004,112747.36
Data Handling & Storage,University of Trieste,COLLABORATOR,James,Emerson,VISTA - Consortium &amp; PI: Commissioning; Acceptance and Science Verification tasks.,Astronomy Observation,Closed,STFC,12/31/2009,Research Grant,AstroProjects,9/1/2005,241242.28
Beyond the Standard Model,University of Edinburgh,FELLOW,Luigi,Del Debbio,Non-perturbative dynamics in Yang-Mills theories: from hadronic structure to string theory,Particle physics - experiment,Closed,STFC,9/30/2010,Fellowship,Advanced Fellowship,10/1/2005,244444.88
Condensed Matter Physics,University of Cambridge,LEAD ORGANISATION,Christopher,Pickard,A new solid-state theory for the prediction of Nuclear Magnetic Resonance J-coupling constants,"Supercond, magn. &quant.fluids",Closed,EPSRC,3/31/2006,Research Grant,First Grant Scheme Pre-FEC,1/1/2006,119166.97
Materials Processing,University of Warwick,LEAD ORGANISATION,Diane,Holland,Structural characterisation of novel roller-quenched glasses - access to new glass forming regions,Materials processing,Closed,EPSRC,4/30/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,19868.7478
Fundamentals of Computing,University of Southampton,LEAD ORGANISATION,John,Shawe-Taylor,Inference in Complex Stochastic Dynamic Environmental Models,Info. & commun. Technol.,Closed,EPSRC,6/30/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,219251.508
Nuclear structure,Puppetman Productions,COLLABORATOR,Robert,Cywinski,The Pocket Professor- a paradigm shift in the television presentation of physics for children,Nuclear physics,Closed,EPSRC,12/31/2006,Research Grant,PPE PreFEC,1/1/2006,81470.74
Civil Engineering Materials,University of Sheffield,LEAD ORGANISATION,Neil Brennan,Milestone,Development of a New Low pH Cementitious Matrix for Immobilising Nuclear Wastes Containing Reactive Metals,Materials processing,Closed,EPSRC,12/31/2006,Research Grant,Overseas Travel Grants Pre-FEC,1/1/2006,16582.9
Materials Characterisation,Swansea University,LEAD ORGANISATION,Valerie,Randle,Feasibility study: trial application of grain boundary plane enginering to commercially pure titanium,Materials sciences,Closed,EPSRC,12/31/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,62664.15
Medical science & disease,University of Southampton,LEAD ORGANISATION,Timothy G,Leighton,A passive acoustic system for evaluating the in vivo performance of extracorporeal shockwave lithotripsy,Medical & health interface,Closed,EPSRC,12/31/2006,Research Grant,Follow on Fund (Pre-FEC),1/1/2006,57311.33
Vision & Senses - ICT appl.,Sunnybrook Technologies Inc,COLLABORATOR,Alan,Chalmers,High Dynamic Range for High Fidelity Image Synthesis of Real Scenes,Info. & commun. Technol.,Closed,EPSRC,2/28/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,324148.88
Materials Characterisation,The University of Manchester,LEAD ORGANISATION,Matthew,Halsall,THz electro-optics of nitride semiconductors: a feasibility study,Materials sciences,Closed,EPSRC,3/31/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,18233.2
Aerodynamics,University of Bath,LEAD ORGANISATION,Ismet,Gursul,Measurements of unsteady vortical flows with high speed Particle Image Velocimetry,Mechanical engineering,Closed,EPSRC,6/30/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,70643.13
Lasers & Optics,University of Southampton,LEAD ORGANISATION,Jacob,Mackenzie,Axisymmetric Laser Sources with Planar Gain Media,"Optics, photonics & lasers",Closed,EPSRC,12/31/2007,Research Grant,First Grant Scheme Pre-FEC,1/1/2006,117613.7492
Materials Characterisation,University of Birmingham,LEAD ORGANISATION,Ian,Jones,Effects of carbon on the mechanical Properties &amp; Microstructure of a Nb-based alloy,Materials sciences,Closed,EPSRC,1/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,118015.9936
